app_lang_sign	en	pl	de	es	pt	fr	it	tr	id	th	ja	ko	zh	ar	ru	uk	vi	hi	bn	ur	ms	sw	he	el	nl	sv	ro	hu	cs	sk	sr	bg
help_text_02_03	To disable only the sound or voice of the notification, tap the sound or speech icon on the notification configuration screen.	Aby wyłączyć tylko dzwięk lub głos powiadomienia dotknij ikonki dżwięku lub mowy na ekranie konfiguracji powiadomienia.	Um nur den Ton oder die Stimme der Benachrichtigung zu deaktivieren, tippen Sie auf dem Benachrichtigungskonfigurationsbildschirm auf das Ton- oder Sprachsymbol.	Para desactivar solo el sonido o la voz de la notificación, toque el ícono de sonido o voz en la pantalla de configuración de notificaciones.	Para desativar apenas o som ou a voz da notificação, toque no ícone de som ou de voz no ecrã de configuração da notificação.	Pour désactiver uniquement le son ou la voix de la notification, appuyez sur l'icône du son ou de la parole sur l'écran de configuration des notifications.	Per disattivare solo il suono o la voce della notifica, tocca l'icona del suono o della voce nella schermata di configurazione delle notifiche.	Sadece bildirim sesini veya sesini devre dışı bırakmak için bildirim yapılandırma ekranında ses veya konuşma simgesine dokunun.	Untuk menonaktifkan hanya suara atau bunyi notifikasi, ketuk ikon suara atau ucapan di layar konfigurasi notifikasi.	หากต้องการปิดเฉพาะเสียงหรือเสียงแจ้งเตือน ให้แตะไอคอนเสียงหรือเสียงพูดบนหน้าจอการกำหนดค่าการแจ้งเตือน	通知のサウンドまたは音声のみを無効にするには、通知設定画面でサウンドまたは音声アイコンをタップします。	알림의 소리나 음성만 비활성화하려면 알림 구성 화면에서 소리나 음성 아이콘을 탭합니다.	要仅禁用通知的声音或语音，请点击通知配置屏幕上的声音或语音图标。	لتعطيل صوت الإشعار أو صوته فقط، انقر على أيقونة الصوت أو الكلام على شاشة تكوين الإشعارات.	Чтобы отключить только звук или голос уведомления, нажмите значок звука или речи на экране настройки уведомлений.	Щоб вимкнути лише звук або голос сповіщення, торкніться значка звуку чи мовлення на екрані конфігурації сповіщень.	Để chỉ tắt âm thanh hoặc giọng nói của thông báo, hãy chạm vào biểu tượng âm thanh hoặc giọng nói trên màn hình cấu hình thông báo.	केवल सूचना की ध्वनि या आवाज़ को अक्षम करने के लिए, सूचना कॉन्फ़िगरेशन स्क्रीन पर ध्वनि या भाषण आइकन टैप करें।	বিজ্ঞপ্তির শুধুমাত্র শব্দ বা ভয়েস অক্ষম করতে, বিজ্ঞপ্তি কনফিগারেশন স্ক্রিনে শব্দ বা স্পিচ আইকনে আলতো চাপুন।	نوٹیفکیشن کی صرف آواز یا آواز کو غیر فعال کرنے کے لیے، نوٹیفکیشن کنفیگریشن اسکرین پر آواز یا اسپیچ آئیکن کو تھپتھپائیں۔	Untuk menyahaktifkan hanya bunyi atau suara pemberitahuan, ketik ikon bunyi atau pertuturan pada skrin konfigurasi pemberitahuan.	Ili kuzima sauti au sauti tu ya arifa, gusa ikoni ya sauti au hotuba kwenye skrini ya usanidi wa arifa.	כדי להשבית רק את הצליל או הקול של ההתראה, הקש על סמל הצליל או הדיבור במסך הגדרות ההתראה.	Για να απενεργοποιήσετε μόνο τον ήχο ή τη φωνή της ειδοποίησης, πατήστε το εικονίδιο ήχου ή ομιλίας στην οθόνη διαμόρφωσης ειδοποιήσεων.	Om alleen het geluid of de stem van de melding uit te schakelen, tikt u op het geluid- of spraakpictogram op het configuratiescherm van de melding.	För att endast inaktivera ljudet eller rösten i notifikationen, tryck på ljud- eller talikonen på skärmen för notifikationskonfiguration.	Pentru a dezactiva doar sunetul sau vocea notificării, atinge pictograma sunet sau vorbire de pe ecranul de configurare a notificărilor.	Az értesítés hangjának vagy hangjának letiltásához koppints a hangszóró vagy beszéd ikonra az értesítés konfigurációs képernyőjén.	Chcete-li vypnout pouze zvuk nebo hlas upozornění, klepněte na ikonu zvuku nebo řeči na obrazovce konfigurace upozornění.	Ak chcete vypnúť iba zvuk alebo hlas upozornenia, klepnite na ikonu zvuku alebo reči na obrazovke konfigurácie upozornení.	Da biste onemogućili samo zvuk ili glas obaveštenja, dodirnite ikonu zvuka ili govora na ekranu za konfiguraciju obaveštenja.	За да деактивираш само звука или гласа на известието, докосни иконата за звук или говор на екрана за конфигуриране на известия.
help_text_02_04	For notifications about the charge level, you can specify the detailed range for charging and discharging the phone.	Dla powiadomień o poziomie naładowania możesz szczegółowo określić zakres przy ładowaniu i rozładowywaniu telefonu.	Für Benachrichtigungen über den Ladezustand können Sie den detaillierten Bereich für das Laden und Entladen des Telefons angeben.	Para las notificaciones sobre el nivel de carga, puede especificar el rango detallado para cargar y descargar el teléfono.	Para notificações sobre o nível de carga, pode especificar o alcance detalhado para carregar e descarregar o telefone.	Pour les notifications sur le niveau de charge, vous pouvez spécifier la plage détaillée de charge et de décharge du téléphone.	Per le notifiche sul livello di carica, puoi specificare l'intervallo dettagliato per la carica e la scarica del telefono.	Şarj seviyesiyle ilgili bildirimler için, telefonu şarj etme ve boşaltma için ayrıntılı aralığı belirtebilirsiniz.	Untuk notifikasi tentang level pengisian daya, Anda dapat menentukan rentang terperinci untuk pengisian dan pengosongan daya ponsel.	สำหรับการแจ้งเตือนเกี่ยวกับระดับการชาร์จ คุณสามารถระบุช่วงการชาร์จและการปล่อยประจุโทรศัพท์ได้อย่างละเอียด	充電レベルに関する通知については、電話の充電と放電の詳細な範囲を指定できます。	충전 수준에 대한 알림의 경우 휴대전화 충전 및 방전에 대한 자세한 범위를 지정할 수 있습니다.	对于有关充电水平的通知，您可以指定手机充电和放电的详细范围。	للحصول على إشعارات حول مستوى الشحن، يمكنك تحديد النطاق التفصيلي لشحن وتفريغ الهاتف.	Для уведомлений об уровне заряда вы можете указать подробный диапазон для зарядки и разрядки телефона.	Для повідомлень про рівень заряду ви можете вказати детальний діапазон зарядки та розрядки телефону.	Đối với thông báo về mức sạc, bạn có thể chỉ định phạm vi chi tiết để sạc và xả điện thoại.	चार्ज स्तर के बारे में सूचनाओं के लिए, आप फ़ोन को चार्ज करने और डिस्चार्ज करने के लिए विस्तृत सीमा निर्दिष्ट कर सकते हैं।	চার্জ লেভেল সম্পর্কে বিজ্ঞপ্তির জন্য, আপনি ফোন চার্জ এবং ডিসচার্জ করার জন্য বিস্তারিত পরিসর নির্দিষ্ট করতে পারেন।	چارج لیول کے بارے میں اطلاعات کے لیے، آپ فون کو چارج کرنے اور ڈسچارج کرنے کے لیے تفصیلی رینج بتا سکتے ہیں۔	Untuk pemberitahuan tentang paras pengecasan, anda boleh menentukan julat terperinci untuk mengecas dan menyahcas telefon.	Kwa arifa kuhusu kiwango cha chaji, unaweza kubainisha kiwango cha kina cha kuchaji na kutoa chaji kwenye simu.	עבור התראות על רמת הטעינה, אתה יכול לציין את הטווח המפורט לטעינה ולפריקת הטלפון.	Για ειδοποιήσεις σχετικά με το επίπεδο φόρτισης, μπορείτε να καθορίσετε το λεπτομερές εύρος για τη φόρτιση και την εκφόρτιση του τηλεφώνου.	Voor meldingen over het laadniveau kunt u het gedetailleerde bereik voor het laden en ontladen van de telefoon specificeren.	För notifikationer om laddningsnivån kan du specificera det detaljerade intervallet för laddning och urladdning av telefonen.	Pentru notificările despre nivelul de încărcare, poți specifica intervalul detaliat pentru încărcarea și descărcarea telefonului.	A töltöttségi szintre vonatkozó értesítésekhez megadhatod a telefon töltésének és kisütésének részletes tartományát.	U upozornění na úroveň nabití můžete zadat podrobný rozsah pro nabíjení a vybíjení telefonu.	Pre upozornenia o úrovni nabitia môžete zadať podrobný rozsah pre nabíjanie a vybíjanie telefónu.	Za obaveštenja o nivou napunjenosti, možete da odredite detaljan opseg za punjenje i pražnjenje telefona.	За известия за нивото на зареждане можеш да зададеш подробния диапазон за зареждане и разреждане на телефона.
help_text_02_05	You can also use continuous notification about changes in charge,	Możesz również używać powiadamiania ciągłego o zmianach naładowania,	Sie können auch kontinuierliche Benachrichtigungen über Ladezustandsänderungen verwenden,	También puede usar la notificación continua sobre cambios en la carga,	Também pode utilizar notificações contínuas sobre mudanças de cargo,	Vous pouvez également utiliser une notification continue sur les changements de charge,	È inoltre possibile utilizzare la notifica continua sulle modifiche della carica,	Ayrıca şarjdaki değişiklikler hakkında sürekli bildirim kullanabilirsiniz,	Anda juga dapat menggunakan notifikasi berkelanjutan tentang perubahan pengisian daya,	คุณยังสามารถใช้การแจ้งเตือนอย่างต่อเนื่องเกี่ยวกับการเปลี่ยนแปลงในการชาร์จ	充電の変化に関する継続的な通知を使用することもできます。その場合、0 から 100 まで、または他の指定された範囲での充電レベルの各変化について通知されます。	충전 변화에 대한 지속적인 알림을 사용할 수도 있습니다.	您还可以使用有关电量变化的持续通知，	يمكنك أيضًا استخدام الإشعار المستمر حول التغييرات في الشحن،	Вы также можете использовать постоянное уведомление об изменении заряда,	Ви також можете використовувати безперервне сповіщення про зміни заряду,	Bạn cũng có thể sử dụng thông báo liên tục về những thay đổi trong quá trình sạc,	आप चार्ज में होने वाले परिवर्तनों के बारे में निरंतर सूचना का उपयोग भी कर सकते हैं,	এছাড়াও আপনি চার্জ পরিবর্তনের বিষয়ে ক্রমাগত বিজ্ঞপ্তি ব্যবহার করতে পারেন,	آپ چارج میں تبدیلیوں کے بارے میں مسلسل اطلاع بھی استعمال کر سکتے ہیں،	Anda juga boleh menggunakan pemberitahuan berterusan tentang perubahan dalam pengecasan,	Unaweza pia kutumia arifa endelevu kuhusu mabadiliko ya chaji,	אתה יכול גם להשתמש בהתראה רציפה על שינויים בטעינה,	Μπορείτε επίσης να χρησιμοποιήσετε συνεχή ειδοποίηση σχετικά με τις αλλαγές στη φόρτιση,	U kunt ook continue meldingen over veranderingen in de lading gebruiken,	Du kan också använda kontinuerlig notifikation om förändringar i laddningen,	Poți utiliza, de asemenea, notificarea continuă despre modificările de încărcare,	Használhatod a töltés változásairól szóló folyamatos értesítést is,	Můžete také použít průběžné upozornění na změny nabití,	Môžete použiť aj nepretržité upozornenie na zmeny nabitia,	Takođe možete da koristite kontinuirano obaveštenje o promenama u punjenju,	Можеш също да използваш непрекъснато известяване за промени в зареждането,
help_text_02_06	then you will be informed about each change in the charge level from 0 to 100, or in any other specified range.	wtedy będziesz informowany o każdej zmianie poziomu naładowania od 0 do 100, czy w dowolnym innym podanym zakresie.	dann werden Sie über jede Änderung des Ladezustands von 0 bis 100 oder in einem anderen angegebenen Bereich informiert.	entonces se le informará sobre cada cambio en el nivel de carga de 0 a 100, o en cualquier otro rango especificado.	será então informado sobre cada alteração no nível de carga de 0 a 100, ou em qualquer outro intervalo especificado.	puis vous serez informé de chaque changement du niveau de charge de 0 à 100, ou dans toute autre plage spécifiée.	quindi verrai informato su ogni modifica del livello di carica da 0 a 100 o in qualsiasi altro intervallo specificato.	sonra şarj seviyesindeki 0 ila 100 veya belirtilen herhangi bir aralıktaki her değişiklik hakkında bilgilendirilirsiniz.	kemudian Anda akan diberi tahu tentang setiap perubahan level pengisian daya dari 0 hingga 100, atau dalam rentang lain yang ditentukan.	จากนั้นคุณจะได้รับแจ้งเกี่ยวกับการเปลี่ยนแปลงแต่ละครั้งในระดับการชาร์จตั้งแต่ 0 ถึง 100 หรือในช่วงที่ระบุอื่นๆ	null	그러면 0에서 100까지 또는 다른 지정된 범위에서 충전 수준의 각 변경 사항에 대해 알려줍니다.	然后您将收到有关电量水平从 0 到 100 或任何其他指定范围的每次变化的通知。	ثم سيتم إعلامك بكل تغيير في مستوى الشحن من 0 إلى 100، أو في أي نطاق محدد آخر.	тогда вы будете проинформированы о каждом изменении уровня заряда от 0 до 100 или в любом другом указанном диапазоне.	потім ви будете проінформовані про кожну зміну рівня заряду від 0 до 100 або в будь-якому іншому зазначеному діапазоні.	sau đó bạn sẽ được thông báo về từng thay đổi trong mức sạc từ 0 đến 100 hoặc trong bất kỳ phạm vi nào khác được chỉ định.	फिर आपको 0 से 100 तक या किसी अन्य निर्दिष्ट सीमा में चार्ज स्तर में प्रत्येक परिवर्तन के बारे में सूचित किया जाएगा।	তারপর আপনাকে 0 থেকে 100 পর্যন্ত চার্জ লেভেলের প্রতিটি পরিবর্তন বা অন্য কোনো নির্দিষ্ট পরিসরে জানানো হবে।	پھر آپ کو چارج لیول میں 0 سے 100 تک، یا کسی اور مخصوص رینج میں ہونے والی ہر تبدیلی کے بارے میں مطلع کیا جائے گا۔	kemudian anda akan dimaklumkan tentang setiap perubahan dalam paras pengecasan dari 0 hingga 100, atau dalam julat lain yang ditentukan.	basi utaarifiwa kuhusu kila mabadiliko katika kiwango cha chaji kutoka 0 hadi 100, au katika kiwango kingine chochote kilichobainishwa.	אז תודיע לך על כל שינוי ברמת הטעינה מ-0 עד 100, או בכל טווח מוגדר אחר.	τότε θα ενημερώνεστε για κάθε αλλαγή στο επίπεδο φόρτισης από 0 έως 100, ή σε οποιοδήποτε άλλο καθορισμένο εύρος.	dan wordt u geïnformeerd over elke verandering in het laadniveau van 0 tot 100, of in een ander gespecificeerd bereik.	då kommer du att informeras om varje förändring i laddningsnivån från 0 till 100, eller i något annat specificerat intervall.	atunci vei fi informat despre fiecare modificare a nivelului de încărcare de la 0 la 100 sau în orice alt interval specificat.	akkor értesítést kapsz a töltöttségi szint 0 és 100 közötti vagy bármely más megadott tartományban történő minden változásáról.	poté budete informováni o každé změně úrovně nabití od 0 do 100 nebo v jakémkoli jiném zadaném rozsahu.	potom budete informovaní o každej zmene úrovne nabitia od 0 do 100 alebo v inom zadanom rozsahu.	tada ćete biti obavešteni o svakoj promeni nivoa napunjenosti od 0 do 100, ili u bilo kom drugom navedenom opsegu.	тогава ще бъдеш информиран за всяка промяна в нивото на зареждане от 0 до 100 или в друг зададен диапазон.
help_title_03	Battery display modes	Tryby wyświetlania baterii	Batterieanzeigemodi	Modos de visualización de la batería	Modos de visualização da bateria	Modes d'affichage de la batterie	Modalità di visualizzazione della batteria	Pil görüntüleme modları	Mode tampilan baterai	โหมดแสดงแบตเตอรี่	バッテリー表示モード	배터리 표시 모드	电池显示模式	أوضاع عرض البطارية	Режимы отображения батареи	Режими відображення батареї	Chế độ hiển thị pin	बैटरी डिस्प्ले मोड	ব্যাটারি প্রদর্শন মোড	بیٹری ڈسپلے موڈز	Mod paparan bateri	Njia za kuonyesha betri	מצבי תצוגת סוללה	Λειτουργίες εμφάνισης μπαταρίας	Batterijweergavemodi	Batterivisningslägen	Moduri de afișare a bateriei	Akkumulátor megjelenítési módok	Režimy zobrazení baterie	Režimy zobrazenia batérie	Režimi prikaza baterije	Режими на показване на батерията
help_text_03_01	You can switch the display mode between the view of detailed charge parameters, voltage, temperature,	Możesz przełączać tryb wyświetlania pomiędzy widokiem szczegółowych parametrów naładowania, napięcia, temperatury,	Sie können den Anzeigemodus zwischen der Ansicht detaillierter Ladeparameter, Spannung, Temperatur,	Puede cambiar el modo de visualización entre la vista de parámetros de carga detallados, voltaje, temperatura,	Pode alternar o modo de visualização entre a visualização de parâmetros detalhados de carga, tensão, temperatura,	Vous pouvez basculer le mode d'affichage entre la vue des paramètres de charge détaillés, la tension, la température,	È possibile cambiare la modalità di visualizzazione tra la visualizzazione dei parametri di carica dettagliati, tensione, temperatura,	Görüntüleme modunu ayrıntılı şarj parametreleri, voltaj, sıcaklık,	Anda dapat mengganti mode tampilan antara tampilan parameter pengisian daya terperinci, voltase, suhu,	คุณสามารถสลับโหมดแสดงระหว่างการดูพารามิเตอร์การชาร์จแบบละเอียด แรงดันไฟ อุณหภูมิ	詳細な充電パラメータ、電圧、温度、	자세한 충전 매개변수, 전압, 온도,	您可以在详细充电参数视图、电压、温度、	يمكنك تبديل وضع العرض بين عرض معلمات الشحن التفصيلية، والجهد، ودرجة الحرارة،	Вы можете переключать режим отображения между просмотром подробных параметров заряда, напряжением, температурой,	Ви можете перемикати режим відображення між переглядом детальних параметрів заряду, напруги, температури,	Bạn có thể chuyển đổi chế độ hiển thị giữa chế độ xem thông số sạc chi tiết, điện áp, nhiệt độ,	आप डिस्प्ले मोड को विस्तृत चार्ज पैरामीटर, वोल्टेज, तापमान,	আপনি বিস্তারিত চার্জ পরামিতি, ভোল্টেজ, তাপমাত্রা, দেখার মধ্যে ডিসপ্লে মোড স্যুইচ করতে পারেন	آپ تفصیلی چارج پیرامیٹرز، وولٹیج، درجہ حرارت، کے منظر کے درمیان ڈسپلے موڈ کو تبدیل کر سکتے ہیں	Anda boleh menukar mod paparan antara paparan parameter pengecasan terperinci, voltan, suhu,	Unaweza kubadilisha hali ya kuonyesha kati ya mwonekano wa vigezo vya kina vya chaji, voltage, joto,	אתה יכול להחליף את מצב התצוגה בין תצוגה של פרמטרי טעינה מפורטים, מתח, טמפרטורה,	Μπορείτε να αλλάξετε τη λειτουργία εμφάνισης μεταξύ της προβολής λεπτομερών παραμέτρων φόρτισης, τάσης, θερμοκρασίας,	U kunt de weergavemodus schakelen tussen de weergave van gedetailleerde laadparameters, spanning, temperatuur,	Du kan växla visningsläge mellan vyn med detaljerade laddningsparametrar, spänning, temperatur,	Poți comuta modul de afișare între vizualizarea parametrilor detaliați de încărcare, tensiune, temperatură,	Válthatsz a részletes töltési paraméterek, feszültség, hőmérséklet nézete,	Můžete přepínat režim zobrazení mezi zobrazením podrobných parametrů nabíjení, napětí, teploty,	Môžete prepínať režim zobrazenia medzi zobrazením podrobných parametrov nabíjania, napätia, teploty,	Možete da promenite režim prikaza između prikaza detaljnih parametara punjenja, napona, temperature,	Можеш да превключваш режима на показване между изглед на подробни параметри на зареждане, напрежение, температура,
help_text_03_02	view of a funny animated face or a clean battery.	widokiem zabawnej animowanej twarzy lub czystej baterii.	der Ansicht eines lustigen animierten Gesichts oder einer sauberen Batterie umschalten.	vista de una cara animada divertida o una batería limpia. Puede tocar la parte de la batería para leer en voz alta la información que se muestra.	visão de um rosto animado engraçado ou de uma bateria limpa.	la vue d'un drôle de visage animé ou une batterie propre.	visualizzazione di una faccia animata divertente o di una batteria pulita.	komik animasyonlu yüz görünümü veya temiz pil görünümü arasında değiştirebilirsiniz.	tampilan wajah animasi lucu, atau baterai bersih.	การดูใบหน้าเคลื่อนไหวตลกๆ หรือแบตเตอรี่หมด คุณสามารถสัมผัสส่วนแบตเตอรี่เพื่ออ่านข้อมูลที่แสดงออกมาดังๆ	面白いアニメーションの顔またはクリーンなバッテリーの表示の間で表示モードを切り替えることができます。	재미있는 애니메이션 얼굴 또는 깨끗한 배터리 보기 간에 표시 모드를 전환할 수 있습니다.	有趣的动画脸视图或干净电池之间切换显示模式。	أو عرض وجه متحرك مضحك أو بطارية نظيفة.	просмотром забавного анимированного лица или чистой батареи.	вид смішного анімованого обличчя або чистої батареї.	chế độ xem khuôn mặt hoạt hình vui nhộn hoặc pin sạch.	मज़ेदार एनिमेटेड चेहरे या साफ़ बैटरी के दृश्य के बीच स्विच कर सकते हैं।	একটি মজার অ্যানিমেটেড মুখ বা একটি পরিষ্কার ব্যাটারির দৃশ্য।	ایک مضحکہ خیز متحرک چہرے یا صاف بیٹری کا نظارہ۔	paparan muka animasi lucu atau bateri bersih.	mwonekano wa uso wa katuni au betri safi.	תצוגה של פרצוף מצויר מצחיק או סוללה נקייה.	προβολή ενός αστείου κινούμενου προσώπου ή μιας καθαρής μπαταρίας.	weergave van een grappig geanimeerd gezicht of een schone batterij.	vy av ett roligt animerat ansikte eller ett rent batteri.	vizualizarea unei fețe animate amuzante sau a unei baterii curate.	egy vicces animált arc vagy egy tiszta akkumulátor nézete között.	zobrazením vtipného animovaného obličeje nebo čisté baterie.	zobrazením vtipnej animovanej tváre alebo čistej batérie.	prikaza smešnog animiranog lica ili čiste baterije.	изглед на смешно анимирано лице или чиста батерия.
help_text_03_03	You can touch the battery part to read the displayed information aloud.	Możesz dotykać części baterii aby odczytać na głos treść pokazywanych informacji.	Sie können den Batterieteil berühren, um die angezeigten Informationen laut vorzulesen.	En los parámetros, puede ajustar la presentación de los valores promedio, máximo y mínimo.	Pode tocar na parte da bateria para ler as informações apresentadas em voz alta.	Vous pouvez toucher la partie batterie pour lire à haute voix les informations affichées.	Puoi toccare la parte della batteria per leggere ad alta voce le informazioni visualizzate.	Görüntülenen bilgileri yüksek sesle okumak için pil kısmına dokunabilirsiniz.	Anda dapat menyentuh bagian baterai untuk membaca informasi yang ditampilkan dengan lantang.	ในพารามิเตอร์ คุณสามารถปรับการนำเสนอค่าเฉลี่ย ค่าสูงสุด และค่าต่ำสุดได้	バッテリー部分をタッチすると、表示されている情報を音声で読み上げることができます。	배터리 부분을 터치하면 표시된 정보를 소리 내어 읽을 수 있습니다.	您可以触摸电池部分以大声读出显示的信息。	يمكنك لمس جزء البطارية لقراءة المعلومات المعروضة بصوت عالٍ.	Вы можете коснуться части батареи, чтобы прочитать отображаемую информацию вслух.	Ви можете торкнутися частини батареї, щоб прочитати інформацію, що відображається, вголос.	Bạn có thể chạm vào phần pin để đọc to thông tin được hiển thị.	प्रदर्शित जानकारी को ज़ोर से पढ़ने के लिए आप बैटरी वाले हिस्से को छू सकते हैं।	আপনি প্রদর্শিত তথ্য জোরে পড়তে ব্যাটারি অংশ স্পর্শ করতে পারেন.	ظاہر کردہ معلومات کو بلند آواز سے پڑھنے کے لیے آپ بیٹری کے حصے کو چھو سکتے ہیں۔	Anda boleh menyentuh bahagian bateri untuk membaca maklumat yang dipaparkan dengan kuat.	Unaweza kugusa sehemu ya betri kusoma habari iliyoonyeshwa kwa sauti.	אתה יכול לגעת בחלק הסוללה כדי לקרוא את המידע המוצג בקול רם.	Μπορείτε να αγγίξετε το τμήμα της μπαταρίας για να διαβάσετε δυνατά τις εμφανιζόμενες πληροφορίες.	U kunt het batterijgedeelte aanraken om de weergegeven informatie hardop te lezen.	Du kan trycka på batteridelen för att läsa den visade informationen högt.	Poți atinge partea bateriei pentru a citi cu voce tare informațiile afișate.	Megérintheted az akkumulátor részt a megjelenített információk hangos felolvasásához.	Můžete se dotknout části baterie a přečíst zobrazené informace nahlas.	Môžete sa dotknúť časti batérie a prečítať zobrazené informácie nahlas.	Možete da dodirnete deo baterije da biste pročitali prikazane informacije naglas.	Можеш да докоснеш частта на батерията, за да прочетеш на глас показаната информация.
help_text_03_04	In the parameters, you can adjust the presentation of average, maximum and minimum values.	W parametrach możesz dostosować prezentowanie wartości średnich, maksymalnych i minimalnych.	In den Parametern können Sie die Anzeige von Durchschnitts-, Maximal- und Minimalwerten anpassen.	null	Nos parâmetros pode ajustar a apresentação dos valores médios, máximos e mínimos.	Dans les paramètres, vous pouvez régler la présentation des valeurs moyennes, maximales et minimales.	Nei parametri, puoi regolare la presentazione dei valori medi, massimi e minimi.	Parametrelerde, ortalama, maksimum ve minimum değerlerin sunumunu ayarlayabilirsiniz.	Di parameter, Anda dapat menyesuaikan penyajian nilai rata-rata, maksimum, dan minimum.	null	パラメータでは、平均値、最大値、最小値の表示を調整できます。	매개변수에서 평균, 최대 및 최소값의 표시를 조정할 수 있습니다.	在参数中，您可以调整平均值、最大值和最小值的呈现方式。	في المعلمات، يمكنك ضبط عرض القيم المتوسطة والقصوى والدنيا.	В параметрах вы можете настроить представление средних, максимальных и минимальных значений.	У параметрах можна налаштувати подання середніх, максимальних і мінімальних значень.	Trong các thông số, bạn có thể điều chỉnh cách trình bày các giá trị trung bình, tối đa và tối thiểu.	पैरामीटर में, आप औसत, अधिकतम और न्यूनतम मानों की प्रस्तुति को समायोजित कर सकते हैं।	পরামিতিগুলিতে, আপনি গড়, সর্বাধিক এবং সর্বনিম্ন মানগুলির উপস্থাপনা সামঞ্জস্য করতে পারেন।	پیرامیٹرز میں، آپ اوسط، زیادہ سے زیادہ اور کم از کم اقدار کی پیشکش کو ایڈجسٹ کر سکتے ہیں۔	Dalam parameter, anda boleh menyesuaikan pembentangan nilai purata, maksimum dan minimum.	Katika vigezo, unaweza kurekebisha uwasilishaji wa maadili ya wastani, upeo na chini.	בפרמטרים, אתה יכול להתאים את הצגת הערכים הממוצעים, המקסימליים והמינימליים.	Στις παραμέτρους, μπορείτε να προσαρμόσετε την παρουσίαση των μέσων, μέγιστων και ελάχιστων τιμών.	In de parameters kunt u de presentatie van gemiddelde, maximale en minimale waarden aanpassen.	I parametrarna kan du justera presentationen av medel-, max- och minvärden.	În parametri, poți ajusta prezentarea valorilor medii, maxime și minime.	A paraméterekben beállíthatod az átlagos, maximális és minimális értékek megjelenítését.	V parametrech můžete upravit prezentaci průměrných, maximálních a minimálních hodnot.	V parametroch môžete upraviť prezentáciu priemerných, maximálnych a minimálnych hodnôt.	U parametrima možete da podesite prikaz prosečnih, maksimalnih i minimalnih vrednosti.	В параметрите можеш да регулираш представянето на средни, максимални и минимални стойности.
help_title_04	Speech settings	Ustawienia mowy	Spracheinstellungen	Configuración de voz	Configurações de fala	Paramètres de la parole	Impostazioni vocali	Konuşma ayarları	Pengaturan ucapan	การตั้งค่าเสียงพูด	音声設定	음성 설정	语音设置	إعدادات الكلام	Настройки речи	Налаштування мовлення	Cài đặt giọng nói	भाषण सेटिंग	বক্তৃতা সেটিংস	تقریر کی ترتیبات	Tetapan pertuturan	Mipangilio ya hotuba	הגדרות דיבור	Ρυθμίσεις ομιλίας	Spraakinstellingen	Talinställningar	Setări de vorbire	Beszédbeállítások	Nastavení řeči	Nastavenia reči	Podešavanja govora	Настройки на речта
